File: App.tsx | Line: 263 | Type: JSX text: 'MCNA LMS - Standalone Learning Management System' | Code: <title>MCNA LMS - Standalone Learning Management System</title>
File: App.tsx | Line: 308 | Type: JSX text: 'MCNA LMS Standalone Client' | Code: <h1 class="text-3xl font-extrabold text-white tracking-widest uppercase">MCNA LMS Standalone Client</h1>
File: App.tsx | Line: 315 | Type: JSX text: 'Standalone credentials configured:' | Code: <span class="text-xs font-mono font-bold tracking-wider text-indigo-300 block uppercase">Standalone credentials configured:</span>
File: App.tsx | Line: 317 | Type: JSX text: 'admin@mcna.local / admine16' | Code: <div class="py-1.5 flex justify-between"><span>Manager</span><span class="text-white">admin@mcna.local / admine16</span></div>
File: App.tsx | Line: 318 | Type: JSX text: 'teacher@mcna.local / teachere16' | Code: <div class="py-1.5 flex justify-between"><span>Teacher</span><span class="text-white">teacher@mcna.local / teachere16</span></div>
File: App.tsx | Line: 319 | Type: JSX text: 'student@mcna.local / studente16' | Code: <div class="py-1.5 flex justify-between"><span>Student</span><span class="text-white">student@mcna.local / studente16</span></div>
File: App.tsx | Line: 320 | Type: JSX text: 'finance@mcna.local / finance16' | Code: <div class="py-1.5 flex justify-between"><span>Kế Toán</span><span class="text-white">finance@mcna.local / finance16</span></div>
File: App.tsx | Line: 322 | Type: JSX text: 'academic@mcna.local / academice16' | Code: <div class="py-1.5 flex justify-between"><span>Admin học tập</span><span class="text-white">academic@mcna.local / academice16</span></div>
File: App.tsx | Line: 382 | Type: JSX text: 'MCNA LMS' | Code: <h1 className="text-sm font-display font-black tracking-widest text-white uppercase leading-none">MCNA LMS</h1>
File: App.tsx | Line: 383 | Type: JSX text: 'Academic suite v1.1' | Code: <p className="text-[9px] text-white/40 uppercase tracking-tighter mt-0.5">Academic suite v1.1</p>
File: App.tsx | Line: 662 | Type: JSX text: 'MCNA LMS INC.' | Code: <span className="font-display font-black text-white tracking-widest uppercase text-xs">MCNA LMS INC.</span>
File: App.tsx | Line: 666 | Type: JSX text: 'Advanced Local LMS Ecosystem' | Code: <h2 className="text-2xl font-display font-extrabold text-white leading-tight">Advanced Local LMS Ecosystem</h2>
File: App.tsx | Line: 752 | Type: JSX text: 'Manager QTV' | Code: <span className="block font-sans font-extrabold text-[10px] leading-tight group-hover:text-red-300">Manager QTV</span>
File: App.tsx | Line: 753 | Type: JSX text: 'admin@mcna.local' | Code: <span className="font-mono text-[8px] font-normal text-white/30 truncate block">admin@mcna.local</span>
File: App.tsx | Line: 765 | Type: JSX text: 'teacher@mcna.local' | Code: <span className="font-mono text-[8px] font-normal text-white/30 truncate block">teacher@mcna.local</span>
File: App.tsx | Line: 777 | Type: JSX text: 'student@mcna.local' | Code: <span className="font-mono text-[8px] font-normal text-white/30 truncate block">student@mcna.local</span>
File: App.tsx | Line: 789 | Type: JSX text: 'finance@mcna.local' | Code: <span className="font-mono text-[8px] font-normal text-white/30 truncate block">finance@mcna.local</span>
File: App.tsx | Line: 813 | Type: JSX text: 'academic@mcna.local' | Code: <span className="font-mono text-[8px] font-normal text-white/30 truncate block">academic@mcna.local</span>
File: components\AcademicManager.tsx | Line: 611 | Type: JSX text: 'Fall (Thu)' | Code: <option value="fall" className="bg-slate-900">Fall (Thu)</option>
